country,year,taxburden,gdppc,taxrev,category,taxrpc
Uruguay,2014,77.40000000000001,20093.6240651453,18.561138538271,Spanish,372960.53
Uruguay,2015,77.09999999999989,20217.5604365641,18.5094775730046,Spanish,374216.47
Uruguay,2016,77.2,22454.3948288087,21.8249441022183,Spanish,490065.91
Uruguay,2017,77.51390000000001,23009.8742286911,18.2947500677407,Spanish,420959.91
Uruguay,2018,78,23588.1513898133,18.5602992152633,Spanish,437803.16
Uruguay,2019,77.2,24006.7869388827,18.154268227323,Spanish,435825.66
Uzbekistan,2013,90.2,6302.64724360333,13.8004798918479,Russian,86979.555
Uzbekistan,2014,90.3,6494.85994090064,13.4703929830448,Russian,87488.313
Uzbekistan,2015,90.2,6680.18470067684,13.5577540324739,Russian,90568.305
Uzbekistan,2016,90.40000000000001,6796.90489209483,13.4329630615828,Russian,91302.57
Uzbekistan,2017,90.7,6840.70986001705,11.6417474022732,Russian,79637.813
Uzbekistan,2018,91,7252.98519675475,14.1576469701894,Russian,102685.2
Uzbekistan,2019,91.3,7658.89955894696,12.6953747017566,Russian,97232.602
Zimbabwe,2015,66.59999999999989,2679.50761483742,17.6733631953313,British,47355.91
Zimbabwe,2016,60.8,2806.4690320362,15.4583408165803,British,43383.355
Zimbabwe,2017,61.0771,3795.64243109451,15.8743745304837,British,60253.449
Zimbabwe,2018,61.1,4017.2217158275,13.6031256253675,British,54646.773
Argentina,1990,,7191.10509033023,4.83851314669697,Spanish,34794.258
Argentina,1991,,8000.36230985365,5.00823654744009,Spanish,40067.707
Argentina,1992,,8713.545764074061,5.54792213441138,Spanish,48342.074
Argentina,1993,,9526.91334664213,8.01513800555669,Spanish,76359.523
Argentina,1994,,10168.750177921,8.12643722809198,Spanish,82635.711
Argentina,1995,,9963.360902315409,8.054357651723089,Spanish,80248.469
Argentina,1996,,10579.4772698476,8.17178777492906,Spanish,86453.242
Argentina,1997,,11507.8954146611,8.690086355549941,Spanish,100004.6
Argentina,1998,,11949.4186592024,9.03052618638845,Spanish,107909.54
Argentina,1999,,11581.8905140722,9.076124335591819,Spanish,105118.68
Argentina,2000,,11618.7932334926,9.622603501889049,Spanish,111803.04
Argentina,2001,,11226.8797464943,9.324898793900561,Spanish,104689.52
Argentina,2002,,10052.4882560869,9.81895834666325,Spanish,98704.961
Argentina,2003,,11025.1860988296,12.5187797002949,Spanish,138021.88
Argentina,2004,,12214.7407113551,13.1007798994386,Spanish,160022.63
Argentina,2005,,13568.7692061284,13.1031756459852,Spanish,177793.97
Argentina,2006,,14951.7289508076,12.8788866954319,Spanish,192561.63
Argentina,2007,,16570.0078336983,12.4482684483004,Spanish,206267.91
Argentina,2008,,17404.0691420333,13.3178463574032,Spanish,231784.72
Argentina,2009,,16334.7408131075,12.3830415594157,Spanish,202273.78
Argentina,2010,,18061.9343589164,12.8530426903255,Spanish,232150.81
Argentina,2011,,19322.2271236942,12.6636277012315,Spanish,244689.48
Argentina,2012,,19641.3528638347,12.9528415127413,Spanish,254411.33
Armenia,2004,,4614.86980387949,13.9964056466186,Russian,64591.59
Armenia,2005,,5455.43499457867,14.3356634088462,Russian,78207.281
Armenia,2006,,6411.81964016089,14.3959865593942,Russian,92304.469
Armenia,2007,,7551.64363563305,15.962531729107,Russian,120543.35
Armenia,2008,,8300.49198824733,17.3217587321083,Russian,143779.13
Armenia,2009,,7233.03992810233,16.5058632327843,Russian,119387.57
Armenia,2010,,7506.32190855914,17.0700513990102,Russian,128133.3
Armenia,2011,,8025.4584849173,17.2194190490991,Russian,138193.73
Armenia,2012,,9364.37529918435,17.4916420766113,Russian,163798.3
Azerbaijan,1994,,2604.80993706837,25.5591673338671,Russian,66576.773
Azerbaijan,1995,,2318.66598499433,17.9540725466304,Russian,41629.496
Azerbaijan,1996,,2367.73620175635,9.85045743980092,Russian,23323.285
Azerbaijan,1997,,2525.38006091237,10.693809961055,Russian,27005.934
Azerbaijan,1998,,2782.64722815762,12.6793349997094,Russian,35282.117
Azerbaijan,1999,,3005.22223255099,12.7334587163254,Russian,38266.875
Azerbaijan,2008,,12956.834046821,16.4211753684861,Russian,212766.44
Azerbaijan,2009,,13976.1096357098,14.1067089869809,Russian,197156.91
Azerbaijan,2010,,14677.1648204193,12.1577769928176,Russian,178441.7
Azerbaijan,2011,,14804.5744507911,12.2247609538804,Russian,180982.39
Azerbaijan,2012,,15957.7188502849,12.7786393685483,Russian,203917.94
Belarus,1992,,4924.74109918553,20.5434782608696,Russian,101171.31
Belarus,1993,,4648.04913945108,26.6395939086294,Russian,123822.14
Belarus,1994,,4196.82740223491,24.7501826561007,Russian,103872.24
Belarus,1995,,3851.68347772947,19.8876469280001,Russian,76600.922
Belarus,1996,,4045.62609197246,18.7997748111698,Russian,76056.859
Belarus,1997,,4606.52243533804,20.7345909549383,Russian,95514.359
Belarus,1998,,5072.46925512,17.1123289388046,Russian,86801.766
Belarus,1999,,5344.6582135647,16.6724761934976,Russian,89108.688
Belarus,2000,,5808.35742587087,16.6247345026167,Russian,96562.398
Belarus,2001,,6248.21138224153,15.7546642442876,Russian,98438.469
Belarus,2002,,6709.84550284634,14.2010383230738,Russian,95286.773
Belarus,2003,,7367.19377907469,17.6881219095961,Russian,130311.82
Belarus,2004,,8489.48408699124,18.3713469008917,Russian,155963.25
Belarus,2005,,9642.42979250313,20.1496562779039,Russian,194291.64
Belarus,2006,,10994.7667382994,22.2230966228065,Russian,244337.77
Belarus,2007,,12317.4565015173,23.7266987288672,Russian,292252.59
Belarus,2008,,13885.7467207654,25.3533892055523,Russian,352050.75
Belarus,2009,,14054.106018462,18.6294706290955,Russian,261820.56
Belarus,2010,,15360.1478975791,16.321438373621,Russian,250699.7
Belarus,2011,,16563.2014078209,14.5090725642403,Russian,240316.69
Belarus,2012,,18105.2867180444,14.6629750334495,Russian,265477.38
Colombia,1998,,6758.52574907649,13.7437321544523,Spanish,92887.367
Colombia,1999,,6460.90682665561,13.4769212818618,Spanish,87073.133
Colombia,2000,,6690.37375083775,11.219754185325,Spanish,75064.352
Colombia,2003,,7319.54321218707,11.2588268638482,Spanish,82409.469
Colombia,2008,,10179.2448415524,13.0315110144915,Spanish,132650.94
Colombia,2009,,10258.9708392748,12.6752273841946,Spanish,130034.79
Colombia,2010,,10731.645914959,12.1421652023674,Spanish,130305.41
Colombia,2011,,11604.102283016,14.5758811869672,Spanish,169140.02
Colombia,2012,,12018.6512847411,13.226990714276,Spanish,158970.59
"Egypt, Arab Rep.",1990,,3711.12161977448,13.2348643006263,British,49116.191
"Egypt, Arab Rep.",1991,,3792.63859345127,14.7377777777778,British,55895.066
"Egypt, Arab Rep.",1992,,3966.76214229818,18.4802300503235,British,73306.68
"Egypt, Arab Rep.",1993,,4093.87855955428,18.764175257732,British,76818.258
"Egypt, Arab Rep.",1994,,4260.96346079016,19.0474285714286,British,81160.398
"Egypt, Arab Rep.",1995,,4461.84539725326,17.6230392156863,British,78631.273
"Egypt, Arab Rep.",1996,,4675.13316125631,17.4629468177855,British,81641.602
"Egypt, Arab Rep.",1997,,4920.25443768011,15.9646483640466,British,78550.133
"Egypt, Arab Rep.",2002,,6139.67898913655,13.4077593032462,British,82319.336
"Egypt, Arab Rep.",2003,,6334.5712788004,13.3499401197605,British,84566.148
"Egypt, Arab Rep.",2004,,6648.42901856206,13.8359777457243,British,91987.516
"Egypt, Arab Rep.",2005,,7033.91892170753,14.068635097493,British,98957.641
"Egypt, Arab Rep.",2006,,7606.75573398818,15.8295127084345,British,120411.23
"Egypt, Arab Rep.",2007,,8219.48274929236,15.3498523093448,British,126167.84
"Egypt, Arab Rep.",2008,,8820.71650563293,15.3205248464545,British,135138
"Egypt, Arab Rep.",2009,,9131.49909819552,15.6613605833813,British,143011.7
"Egypt, Arab Rep.",2010,,9522.50916306002,14.1300762473065,British,134553.78
"Egypt, Arab Rep.",2011,,9686.046263877401,14.0086354022318,British,135688.3
"Egypt, Arab Rep.",2012,,11092.7432596071,12.3849047590613,British,137382.56
Estonia,1995,,6464.07492558838,22.8390173739655,Russian,147633.13
Estonia,1996,,6874.75996451001,21.8490911610692,Russian,150207.25
Estonia,1997,,7976.61168757089,21.9671891680782,Russian,175223.73
Estonia,1998,,8450.24767744531,22.1073473986806,Russian,186812.56
Estonia,1999,,8412.06677647343,20.9245903191704,Russian,176019.05
Estonia,2000,,9425.391865987051,19.6861614691059,Russian,185549.78
Estonia,2001,,10318.7242837216,19.2210782518392,Russian,198337
Estonia,2002,,11663.2715046648,19.6343150213868,Russian,229000.34
