,Dependency,HealthExpPC
0,4.758272778,9.64153671
1,20.04121416,376.5013733
2,10.02144174,633.7988281
5,4.347987485,69.06031799
6,12.73197193,780.3624877999999
7,17.33868976,1221.781616
8,16.52235848,127.9612808
10,24.03035262,3456.6274409999996
11,28.48789232,4296.747559
12,8.795572468,168.0699616
13,10.33003861,1006.997803
14,3.098012895,1150.379761
15,7.683541228999999,18.61657524
16,23.63761604,539.0012817
17,21.73874662,797.3865356000001
18,29.28610382,4096.09082
19,7.288678927,347.3262024
20,5.992053527,16.38282776
22,8.798677265,256.2272949
23,11.64980335,353.0602417
24,23.95214663,908.5909424
25,6.8499182329999995,843.5006714
26,12.79386664,637.9216918999999
28,6.758880245,1857.6505129999998
29,32.65152934,941.6680908
30,4.5721030869999995,47.48747635
31,4.300248832,16.16786575
32,6.919608964,240.3788147
33,7.113009316,55.55650711
34,4.994327935,7.96273899
35,25.75872729,3821.553467
37,5.343748417,6.07482052
38,4.922331176,13.43343544
40,16.77884884,1172.167725
41,15.33786425,527.6022949
42,12.38682825,827.4388428
43,5.23371678,12.42846012
44,5.938700076,4.6314168
45,4.827159418,46.07588577
46,13.81524559,967.565918
47,5.178862101,50.79077911
48,31.43389598,1561.094482
49,22.13651465,2239.784912
51,19.74166773,1123.486572
52,29.88170785,2514.624268
53,31.089476399999995,4860.257324
54,6.87055517,66.85728455
56,10.90669478,450.8258972
57,11.04279325,496.4184876
58,8.577415968,176.444931
59,12.83213318,378.2166138
60,4.06764018,138.378952
62,30.65826602,1786.1077879999998
63,6.936944472,228.68084720000002
64,6.283904682999999,15.57280636
66,8.379191162,254.4277344
67,34.95794303,3501.412354
68,32.30926755,3852.31958
70,5.998811817999999,287.624176
71,4.8737692610000005,24.72364616
72,22.75124235,314.07565310000007
73,33.06061416,4737.330566
74,5.172150033,65.33228302
76,33.69239259,1215.3240970000002
78,14.40100984,265.0151978
80,7.920776028,173.9083557
81,5.497583149,17.95958328
82,5.1492729719999994,11.28578281
83,9.872565162,317.3570252
84,8.00765841,17.2068367
85,7.378838308,145.84317019999997
87,28.83884732,1461.609985
88,22.63176383,4211.852539
89,9.256038867000001,74.15726471
90,8.665518008,185.06178280000003
91,8.919346463,776.7890014999999
92,5.701850707999999,344.6011963
93,21.42170178,4357.137207
95,19.9291768,2075.362793
96,35.59443453,2677.774902
97,13.04111729,363.0863037
99,6.213232452000001,362.8049622
100,11.52318178,476.81665039999996
101,4.041536075,75.50148773
102,6.532749347,212.25886540000002
104,19.8580482,1878.604858
106,3.3598330539999997,3230.298096
107,7.117003972999999,111.3349838
108,6.435716192999999,64.66712189
109,31.33741457,1132.081055
110,10.4666419,543.1585693
111,7.856508529,179.4115753
112,5.849221252,25.87359619
115,30.12423597,1523.44165
116,20.27949989,5135.880371
118,5.300754484,28.25439072
119,4.949153234,34.51488113
120,9.622754807,611.0286865
121,4.863229624,1018.78302
122,5.019549381,25.398283
123,31.12767146,2473.938965
125,5.532495657,68.21751404
126,16.22199925,595.7490234
127,10.90870355,533.7372437
128,6.216257266,108.98824309999999
129,15.78298322,271.24172969999995
131,6.233757354,304.7073059
132,22.41234991,1026.979614
133,10.66103599,187.74357609999998
134,5.512681443,24.93854904
135,8.526348208,43.26124954
136,6.115738817,406.5463867
138,8.969377937,45.18733978
139,29.67153807,3657.7307130000004
141,24.19451041,3011.491943
142,8.129247748,283.47229
143,5.472312061,25.8909111
144,5.146251551000001,34.63783264
145,19.58121129,615.1756592
147,26.0684468,5817.625488000001
148,3.1751103919999997,1516.095215
149,7.138297057000001,63.33958435
151,12.50094627,1186.468018
152,5.672270113,70.93900299
153,10.026952099999999,409.2871399
154,12.23271141,480.0291138
155,8.014734531,128.6225128
156,25.97929856,1432.594727
157,33.99049613,1992.4705809999998
159,1.6101583919999998,2363.920654
160,27.73265343,1256.1640630000002
161,21.76894278,884.9024048
162,5.14694428,53.45846176
163,8.439783067,256.4603272
165,5.362773285,94.04404449
166,4.625832157,2197.760254
167,5.731438044,34.80200577
168,27.8116005,881.4067382999999
169,11.0439866,1153.517456
170,5.29990222,24.99506378
171,15.03229913,2234.972656
173,22.67584864,1727.049805
174,29.99309598,2286.951416
175,6.40846607,85.08787537
177,8.106405078,610.4276123
178,6.203719287999999,12.26207829
179,29.38163313,2517.967285
180,16.03131265,212.4127808
182,13.68382291,288.4930115
184,14.13005695,375.03771969999997
185,6.405218444,66.94773102
186,10.47641621,777.7474365
187,32.24432138,4959.519043
188,28.01923762,2533.235596
190,5.02025502,67.54522705
191,4.880443411,48.29768372
192,16.75896062,551.2198486000001
193,7.454705432000001,213.7797089
194,5.142782498,18.63717461
195,10.15436486,224.72973629999998
196,15.5928402,1034.8359380000002
197,12.31693176,523.3455811000001
198,12.68662415,905.9761353
199,6.836393545,231.0597534
202,3.796292787,22.05761909
203,24.25680175,327.2149963
204,1.286894808,1636.382202
205,28.77679086,3631.155762
206,24.13997563,5355.787109000001
207,22.94069716,1582.860596
208,6.606097936,175.3574066
209,6.329535057999999,68.97711182
210,11.16857727,183.49887090000001
211,10.45971711,200.5410767
215,3.96433459,81.4677887
216,5.377887877999999,55.3876152
217,5.681026724,94.88775147
218,5.1871092789999995,35.40678937
219,7.273801924,573.3256491000001
220,13.03396936,563.1710671
221,27.80028025,1519.826592
222,8.911687641,218.0322181
223,15.46155579,691.4715567000001
224,13.57371897,428.8391862
225,13.57778165,428.8485482
226,32.0208718,3454.5189689999997
227,24.91836536,2124.075252
228,18.00769819,696.1011829
229,18.79152071,765.0160239
230,31.16962326,3116.646202
231,6.17193652,54.56241722
232,5.596184405,37.52760604
233,27.41103802,3769.309103
234,12.49293674,396.3397628
235,11.07218715,308.933288
236,5.977536087000001,59.22482283
237,6.238269481000001,34.28700621
238,6.150423547999999,43.00204455
239,15.26210767,600.1358827
240,12.59883227,648.1070556
241,12.36593432,647.627862
242,12.32998822,619.046933
243,6.2081433310000005,29.81120936
244,10.96832163,301.9115374
245,5.95008728,22.57982637
246,8.624066649,119.4259868
247,7.9809089879999995,712.9318137
248,8.463308937999999,432.5904274
249,8.496897746,432.5904274
250,11.42045313,328.5175853
251,24.30804426,5199.518587
253,25.73169673,3273.738062
254,8.507585529,741.3764097999999
255,7.508877281,190.0437841
256,29.18361974,3816.083322
257,5.147854173,47.91674371
258,9.298482235,675.6924966
259,8.883895763,68.177288
260,8.883895763,68.177288
261,5.484690108,70.54129467
262,5.484060261000001,70.44273418
263,5.484690108,70.54129467
264,14.78396612,600.4352457
265,13.58479974,844.4320276000001
