country,year,netedu,category
Russian Federation,2017,90.67886,Russian
Russian Federation,2014,93.07093,Russian
Russian Federation,2013,91.69423999999999,Russian
Belarus,2018,95.63948000000001,Russian
Belarus,2017,96.37553,Russian
Belarus,2016,97.60838,Russian
Belarus,2015,98.50839000000001,Russian
Belarus,2014,98.06344,Russian
Belarus,2013,97.40129,Russian
Belarus,2012,96.37232,Russian
Belarus,2011,95.19412,Russian
Belarus,2010,94.90998999999999,Russian
Ukraine,2014,85.67634,Russian
Ukraine,2013,85.02414,Russian
Ukraine,2012,84.48572,Russian
Ukraine,2011,84.20283999999999,Russian
Ukraine,2010,85.99148,Russian
Ukraine,2009,85.75843,Russian
Ukraine,2008,86.4859,Russian
Ukraine,2007,86.76809,Russian
Ukraine,2006,86.92265,Russian
Ukraine,2005,85.67247,Russian
Ukraine,2004,90.22745,Russian
Ukraine,2003,91.04401,Russian
Ukraine,2002,90.48178,Russian
Ukraine,2001,94.6328,Russian
Ukraine,2000,93.57133,Russian
Armenia,2011,87.74122,Russian
Armenia,2010,92.50998,Russian
Armenia,2009,92.32107000000001,Russian
Armenia,2008,86.10852,Russian
Armenia,2007,91.63539,Russian
Armenia,2006,88.92706,Russian
Armenia,2005,86.53279999999999,Russian
Kyrgyz Republic,2018,84.38733000000001,Russian
Kyrgyz Republic,2017,83.16127,Russian
Kyrgyz Republic,2016,82.18479000000001,Russian
Kyrgyz Republic,2015,80.51887000000001,Russian
Kyrgyz Republic,2014,80.23971,Russian
Kyrgyz Republic,2007,80.37718,Russian
Kyrgyz Republic,2006,80.60553,Russian
Kyrgyz Republic,2005,80.63642,Russian
Kyrgyz Republic,2004,82.2807,Russian
Georgia,2018,95.94754,Russian
Georgia,2017,94.21028,Russian
Georgia,2016,92.4141,Russian
Georgia,2015,91.29973,Russian
Georgia,2014,90.22179,Russian
Georgia,2013,88.75413,Russian
Georgia,2009,87.67605,Russian
Georgia,2008,91.34336999999999,Russian
Georgia,2007,91.36429,Russian
Georgia,2006,88.2985,Russian
Georgia,2005,88.04291000000001,Russian
Georgia,2000,85.2912,Russian
Georgia,1999,82.18443000000001,Russian
Georgia,1997,76.91283,Russian
Georgia,1996,73.62613,Russian
Moldova,2018,77.95594,Russian
Moldova,2017,77.85475,Russian
Moldova,2016,76.59363999999999,Russian
Moldova,2015,76.40056,Russian
Moldova,2014,76.86421,Russian
Moldova,2013,77.19155000000001,Russian
Moldova,2012,77.90900000000001,Russian
Moldova,2011,77.74841000000001,Russian
Moldova,2010,78.62414,Russian
Moldova,2009,79.55915,Russian
Moldova,2008,83.49852,Russian
Moldova,2007,80.55401000000001,Russian
Moldova,2006,81.34887999999999,Russian
Moldova,2005,81.78982999999999,Russian
Moldova,2004,81.07953000000001,Russian
Moldova,2003,80.06647,Russian
Moldova,2002,78.91573,Russian
Moldova,2001,78.03685,Russian
Moldova,2000,78.24249,Russian
Kazakhstan,2019,99.83989,Russian
Kazakhstan,2018,99.83695,Russian
Kazakhstan,2017,99.83544000000001,Russian
Kazakhstan,2016,98.66864,Russian
Kazakhstan,2015,98.20578,Russian
Kazakhstan,2014,96.95453000000001,Russian
Kazakhstan,2013,93.57774000000001,Russian
Kazakhstan,2012,93.62616,Russian
Kazakhstan,2011,92.91494,Russian
Kazakhstan,2010,92.55571999999999,Russian
Kazakhstan,2006,94.71818,Russian
Kazakhstan,2000,88.66677,Russian
Tajikistan,2011,83.21746,Russian
Tajikistan,2010,82.50797,Russian
Tajikistan,2009,81.79476,Russian
Tajikistan,2008,81.59779,Russian
Tajikistan,2007,80.24330999999999,Russian
Tajikistan,2006,78.81148,Russian
Tajikistan,2005,78.1815,Russian
Tajikistan,2004,78.10509,Russian
Tajikistan,2002,75.00605,Russian
Tajikistan,2001,72.13133999999999,Russian
Tajikistan,2000,70.18143000000001,Russian
Tajikistan,1999,61.97265,Russian
Uzbekistan,2017,90.85635000000001,Russian
Uzbekistan,2016,89.80656,Russian
Uzbekistan,2015,88.74141,Russian
Uzbekistan,2014,88.07015,Russian
Uzbekistan,2013,88.51988,Russian
Uzbekistan,2012,88.29952,Russian
Uzbekistan,2011,86.60566,Russian
Uzbekistan,2010,85.91028,Russian
Azerbaijan,2018,88.53256,Russian
India,2013,61.63147,British
Malaysia,2018,72.21113,British
Malaysia,2017,74.39816999999999,British
Malaysia,2016,73.40114,British
Malaysia,2014,74.65151,British
Malaysia,2013,76.2547,British
Malaysia,2012,75.75679,British
Malaysia,2011,74.16752,British
Malaysia,2010,74.33844999999999,British
Malaysia,2009,74.00103,British
Malaysia,2008,74.09303,British
Malaysia,2007,74.47215,British
Malaysia,2006,78.44768000000001,British
Malaysia,2005,76.92735999999999,British
Malaysia,2004,80.88979,British
Malaysia,2003,80.32219000000001,British
Malaysia,2002,74.68553,British
Malaysia,2001,75.24777,British
Malaysia,2000,75.30455000000001,British
Malaysia,1999,75.69148,British
Malaysia,1998,76.19632,British
Malaysia,1972,41.50132,British
Malaysia,1971,39.67309,British
South Africa,2017,71.92661,British
South Africa,2015,90.54401,British
South Africa,2005,66.15872,British
South Africa,2004,65.07832999999999,British
South Africa,2003,63.53457,British
South Africa,2002,61.81554,British
South Africa,2001,59.68998,British
South Africa,2000,58.85436,British
South Africa,1999,59.62755,British
South Africa,1994,51.186,British
Fiji,2012,84.52339000000001,British
Fiji,2011,85.09220999999999,British
Fiji,2009,80.43713,British
Fiji,2007,81.22868,British
Fiji,2006,85.43666,British
Fiji,2004,83.30853,British
Fiji,2003,76.51975,British
Fiji,2002,75.86326,British
