country,year,cpi,gdppc,category
Latvia,2020,57,32212.39316,Russian
Lithuania,2012,54,24703.68582,Russian
Lithuania,2013,57,26721.57967,Russian
Lithuania,2014,58,28184.47233,Russian
Lithuania,2015,61,28834.42768,Russian
Lithuania,2016,59,30925.17085,Russian
Lithuania,2017,59,33761.87124,Russian
Lithuania,2018,59,36365.36049,Russian
Lithuania,2019,60,38805.74943,Russian
Lithuania,2020,60,39191.94871,Russian
Luxembourg,2012,80,96636.42664000001,Spanish
Luxembourg,2013,80,100925.012,Spanish
Luxembourg,2014,82,105296.2846,Spanish
Luxembourg,2015,81,107859.686,Spanish
Luxembourg,2016,81,113365.1761,Spanish
Luxembourg,2017,82,114985.8422,Spanish
Luxembourg,2018,81,117245.2789,Spanish
Luxembourg,2019,80,119415.4698,Spanish
Luxembourg,2020,80,118503.551,Spanish
Malaysia,2012,49,22985.80166,British
Malaysia,2013,50,23477.99117,British
Malaysia,2014,52,24607.66873,British
Malaysia,2015,50,24801.88843,British
Malaysia,2016,49,25546.12952,British
Malaysia,2017,47,26661.50742,British
Malaysia,2018,47,28239.50008,British
Malaysia,2019,53,29623.40516,British
Malaysia,2020,51,27913.28927,British
Malta,2012,57,30243.98766,British
Malta,2013,56,32295.8786,British
Malta,2014,55,34344.11145,British
Malta,2015,56,37455.07059,British
Malta,2016,55,39886.9498,British
Malta,2017,56,42644.05085,British
Malta,2018,54,44482.23968,British
Malta,2019,54,46766.76668,British
Malta,2020,53,42640.1161,British
Mexico,2012,34,17162.92737,Spanish
Mexico,2013,34,17373.89746,Spanish
Mexico,2014,35,18056.78981,Spanish
Mexico,2015,35,18301.50047,Spanish
Mexico,2016,30,19323.66587,Spanish
Mexico,2017,29,19721.26098,Spanish
Mexico,2018,28,20258.81045,Spanish
Mexico,2019,29,20456.96437,Spanish
Mexico,2020,31,18793.74454,Spanish
Moldova,2012,36,7363.162319,Russian
Moldova,2013,35,8381.671833,Russian
Moldova,2014,35,8827.054108,Russian
Moldova,2015,33,9254.848604999999,Russian
Moldova,2016,30,10610.47784,Russian
Moldova,2017,31,11651.31745,Russian
Moldova,2018,33,12659.98366,Russian
Moldova,2019,32,13577.40658,Russian
Moldova,2020,34,12995.56041,Russian
Morocco,2012,37,6702.418324,Spanish
Morocco,2013,37,6916.013032,Spanish
Morocco,2014,39,6609.609108,Spanish
Morocco,2015,36,7024.963089,Spanish
Morocco,2016,37,7113.0046,Spanish
Morocco,2017,40,7312.056779,Spanish
Morocco,2018,43,7625.735753,Spanish
Morocco,2019,41,7856.245057,Spanish
Morocco,2020,40,7296.158065,Spanish
Myanmar,2012,15,3547.130653,British
Myanmar,2013,21,3782.572595,British
Myanmar,2014,21,4009.962562,British
Myanmar,2015,22,4105.443377,British
Myanmar,2016,28,4031.179736,British
Myanmar,2017,30,4224.545031,British
Myanmar,2018,29,4575.13099,British
Myanmar,2019,29,4940.152499,British
Myanmar,2020,28,5121.917559,British
Netherlands,2012,84,47272.10302,Spanish
Netherlands,2013,83,49241.51784,Spanish
Netherlands,2014,83,49233.2154,Spanish
Netherlands,2015,87,50288.59139,Spanish
Netherlands,2016,83,52288.41508,Spanish
Netherlands,2017,82,55088.6338,Spanish
Netherlands,2018,82,57901.09701,Spanish
Netherlands,2019,82,59675.18034,Spanish
Netherlands,2020,82,59334.21484,Spanish
Nicaragua,2012,29,4427.946924,Spanish
Nicaragua,2013,28,4610.298981,Spanish
Nicaragua,2014,28,4941.699702,Spanish
Nicaragua,2015,27,5293.870462,Spanish
Nicaragua,2016,26,5694.054287,Spanish
Nicaragua,2017,26,6004.014088,Spanish
Nicaragua,2018,25,5867.243891,Spanish
Nicaragua,2019,22,5682.215978,Spanish
Nicaragua,2020,22,5567.647462,Spanish
Paraguay,2012,25,10018.72363,Spanish
Paraguay,2013,24,11062.55873,Spanish
Paraguay,2014,24,11454.42888,Spanish
Paraguay,2015,27,11486.52319,Spanish
Paraguay,2016,30,12041.72354,Spanish
Paraguay,2017,29,12590.54844,Spanish
Paraguay,2018,29,13135.69887,Spanish
Paraguay,2019,28,13149.03857,Spanish
