xFitted,yFitted
21,5997.058071
21.06406406,6041.121711
21.12812813,6085.0619
21.19219219,6128.879264
21.25625626,6172.574434
21.32032032,6216.148038
21.38438438,6259.600705
21.44844845,6302.933062
21.51251251,6346.14574
21.57657658,6389.239367
21.64064064,6432.214572
21.7047047,6475.071983
21.76876877,6517.812229
21.83283283,6560.43594
21.8968969,6602.943742
21.96096096,6645.336267
22.02502503,6687.614141
22.08908909,6729.777995
22.15315315,6771.828456
22.21721722,6813.766153
22.28128128,6855.591716
22.34534535,6897.305773
22.40940941,6938.908952
22.47347347,6980.401883
22.53753754,7021.785194
22.6016016,7063.059513
22.66566567,7104.225471
22.72972973,7145.283695
22.79379379,7186.234814
22.85785786,7227.079457
22.92192192,7267.818253
22.98598599,7308.451831
23.05005005,7348.980818
23.11411411,7389.405845
23.17817818,7429.727539
23.24224224,7469.946529
23.30630631,7510.063445
23.37037037,7550.078915
23.43443443,7589.993567
23.4984985,7629.808031
23.56256256,7669.522936
23.62662663,7709.138909
23.69069069,7748.65658
23.75475475,7788.076577
23.81881882,7827.399529
23.88288288,7866.626066
23.94694695,7905.756815
24.01101101,7944.792406
24.07507508,7983.733467
24.13913914,8022.580626
24.2032032,8061.334514
24.26726727,8099.995758
24.33133133,8138.564987
24.3953954,8177.042831
24.45945946,8215.429917
24.52352352,8253.726874
24.58758759,8291.934332
24.65165165,8330.052918
24.71571572,8368.083263
24.77977978,8406.025994
24.84384384,8443.88174
24.90790791,8481.65113
24.97197197,8519.334793
25.03603604,8556.933357
25.1001001,8594.447452
25.16416416,8631.877705
25.22822823,8669.224747
25.29229229,8706.489204
25.35635636,8743.671708
25.42042042,8780.772885
25.48448448,8817.793364
25.54854855,8854.733776
25.61261261,8891.594747
25.67667668,8928.376908
25.74074074,8965.080886
25.8048048,9001.707311
25.86886887,9038.256811
25.93293293,9074.730015
25.996997,9111.127552
26.06106106,9147.45005
26.12512513,9183.698139
26.18918919,9219.872447
26.25325325,9255.973602
26.31731732,9292.002234
