country,year,intserver,category,passenger
Uzbekistan,2017,202.169899285551,Russian,4294
Uzbekistan,2018,278.946841404171,Russian,4329
Morocco,2010,1.5768294375134,Spanish,4398
Morocco,2018,295.733261532091,Spanish,4475
Sri Lanka,2011,5.1964615430471,British,4574.19
Morocco,2011,2.31835533432209,Spanish,4819
Morocco,2017,284.278883120965,Spanish,4923
Argentina,2013,73.85742247547471,Spanish,5035.0018230423
Sri Lanka,2012,9.253365973072221,British,5039.45
Morocco,2012,3.39932455120342,Spanish,5114
Morocco,2016,24.4546290335263,Spanish,5208
Morocco,2013,5.39807783939265,Spanish,5397
Morocco,2014,7.13609748704667,Spanish,5449
Morocco,2015,9.462373334016471,Spanish,5507
Argentina,2014,89.9237160032342,Spanish,5733.5770156506
Argentina,2012,63.3307655179964,Spanish,6002.5177929744
Belarus,2018,3436.88303102571,Russian,6215
Sri Lanka,2013,11.5618168569347,British,6257.38
Belarus,2017,2269.27000337985,Russian,6295
Belarus,2016,440.472390005723,Russian,6428
Argentina,2015,123.272841307535,Spanish,6883.5652307941
Belarus,2015,107.91584382157,Russian,7117
Argentina,2011,34.0268856020468,Spanish,7287.9333902597
Sri Lanka,2015,20.9346685741536,British,7407.39
Belarus,2010,5.06124315097815,Russian,7578
Belarus,2014,61.2794709009828,Russian,7796
Belarus,2011,9.08933046829182,Russian,7941
Argentina,2016,735.024765104071,Spanish,8065.3684635781
Argentina,2017,1628.59139070889,Spanish,8360.7820221858
Argentina,2010,25.203211310809,Spanish,8817.8723669107
Belarus,2012,25.5111870260053,Russian,8977
Belarus,2013,38.7580029716587,Russian,8998
Netherlands,2010,2084.81363728119,Spanish,15400
Kazakhstan,2010,3.49224647760992,Russian,15447.88
Kazakhstan,2011,5.49609771022906,Russian,16595.3
Netherlands,2011,3200.84844768555,Spanish,16808
Netherlands,2014,7204.7401341286,Spanish,17018
Netherlands,2013,5668.32607017006,Spanish,17018
Kazakhstan,2015,48.1678928673098,Russian,17085
Netherlands,2012,4852.83105983768,Spanish,17098
Netherlands,2015,9728.85177813382,Spanish,17700
Kazakhstan,2016,264.189359873284,Russian,18165.1
Kazakhstan,2014,26.8968263769368,Russian,18317
Netherlands,2017,70412.1276055238,Spanish,18437
Kazakhstan,2012,12.0294734008691,Russian,18498
Netherlands,2016,24130.7940652181,Spanish,18532
Netherlands,2018,100581.523830836,Spanish,18895
Kazakhstan,2018,1374.17262387689,Russian,19109.7
Kazakhstan,2013,17.3754285963512,Russian,19125
Kazakhstan,2017,1232.24725708979,Russian,19241.2
Spain,2010,207.055442100404,Spanish,22456
Spain,2012,403.629824906669,Spanish,22476
Spain,2011,265.003964148667,Spanish,22795
Spain,2013,488.330716969492,Spanish,23788
