,year,yearCode,country,countryCode,gini,govExpEdu,gdpGrowth,gdpPC
460,2002,YR2002,Brazil,BRA,58.1,3.750370026,3.053461858,11800.840970000001
476,2002,YR2002,Colombia,COL,56.0,4.268129826,2.503980466,9137.464303
480,2002,YR2002,Costa Rica,CRI,51.8,5.150440216000001,3.41687639,13054.71918
481,2002,YR2002,Cote d'Ivoire,CIV,41.3,4.090330123999999,-1.6676421380000002,3848.776086
486,2002,YR2002,Czech Republic,CZE,26.6,3.95878005,1.569855328,26289.62614
490,2002,YR2002,Dominican Republic,DOM,49.7,1.9140100480000002,4.495103403,9690.598875
493,2002,YR2002,El Salvador,SLV,51.9,3.242840052,1.580862265,6626.992996
500,2002,YR2002,Fiji,FJI,38.1,6.275869846,3.1999991139999997,10027.45488
506,2002,YR2002,Georgia,GEO,37.2,2.2350199219999998,5.473836801,5572.6220060000005
515,2002,YR2002,Guinea,GIN,43.0,2.593869925,5.164609466,1783.8499960000001
524,2002,YR2002,Indonesia,IDN,31.7,2.6456899640000002,4.499475391,5996.189946
527,2002,YR2002,Ireland,IRL,32.3,4.106140137,5.896231721,51797.42503
531,2002,YR2002,Jamaica,JAM,48.3,5.375229836,1.997290944,9522.531756
534,2002,YR2002,Kazakhstan,KAZ,34.8,3.0297000410000003,9.8,12827.23108
541,2002,YR2002,Kyrgyz Republic,KGZ,30.3,4.445459843,-0.017324601999999998,3182.232895
542,2002,YR2002,Lao PDR,LAO,32.6,2.8252201080000003,5.918743682000001,3106.008562
545,2002,YR2002,Lesotho,LSO,51.6,10.10044956,0.7238359609999999,1760.601425
555,2002,YR2002,Maldives,MDV,41.3,5.7918601039999995,7.268386313,13072.483
561,2002,YR2002,Mexico,MEX,50.1,4.454959869,-0.039844481,17193.56108
563,2002,YR2002,Moldova,MDA,35.8,5.497910022999999,7.799999641,5830.339126
565,2002,YR2002,Mongolia,MNG,32.9,7.210780144,4.732978465,4791.737889
585,2002,YR2002,Panama,PAN,56.1,4.1916399,2.229149417,14353.370319999998
587,2002,YR2002,Paraguay,PRY,57.3,3.407730103,-0.021404395,8138.104853
588,2002,YR2002,Peru,PER,53.6,2.820569992,5.453528938,6653.395098
595,2002,YR2002,Russian Federation,RUS,37.3,3.835020065,4.6999919089999995,16175.0972
597,2002,YR2002,Samoa,WSM,40.7,3.8413898939999997,4.343996108,5306.899332
622,2002,YR2002,Switzerland,CHE,31.7,5.164219856,-0.0055064630000000005,59489.748060000005
626,2002,YR2002,Thailand,THA,41.9,3.8649199010000004,6.1490360520000005,10583.761859999999
632,2002,YR2002,Turkey,TUR,41.4,2.728060007,6.447722047,15031.22298
637,2002,YR2002,Ukraine,UKR,29.0,5.438630104,5.24934062,8467.795992
639,2002,YR2002,United Kingdom,GBR,35.1,4.643370152,2.1787443680000003,39859.31381
641,2002,YR2002,Uruguay,URY,45.5,2.32220006,-7.7320072060000005,12824.87321
658,2003,YR2003,Argentina,ARG,50.9,3.535049915,8.837040796,16714.670130000002
659,2003,YR2003,Armenia,ARM,33.0,2.145040035,14.0,5823.716093
662,2003,YR2003,Austria,AUT,29.5,5.361830235,0.941470921,47564.8639
663,2003,YR2003,Azerbaijan,AZE,26.8,3.2861499789999997,10.20830001,5264.840526
671,2003,YR2003,Benin,BEN,38.6,2.283159971,3.4435767760000005,2579.697807
691,2003,YR2003,Chile,CHL,51.5,3.9634599689999996,4.091047685,16782.93882
693,2003,YR2003,Colombia,COL,53.6,4.325139999,3.9182719039999996,9356.209684
697,2003,YR2003,Costa Rica,CRI,49.3,5.1337399480000006,4.317179866,13411.8483
704,2003,YR2003,Denmark,DNK,25.6,8.121930122,0.390058556,49262.64497
707,2003,YR2003,Dominican Republic,DOM,52.1,1.84465003,-1.345706185,9424.795253
710,2003,YR2003,El Salvador,SLV,50.5,3.1346700189999996,1.5622310819999998,6694.662204
713,2003,YR2003,Estonia,EST,37.2,5.271170139,7.600266336000001,22050.088480000002
718,2003,YR2003,Finland,FIN,27.7,6.167439937999999,2.003784203,42168.69347
722,2003,YR2003,"Gambia, The",GMB,47.3,1.363379955,6.869999622000001,2257.2778350000003
723,2003,YR2003,Georgia,GEO,36.7,2.065599918,11.05872319,6230.821909
727,2003,YR2003,Greece,GRC,32.8,3.429339886,5.794531642999999,33040.7683
739,2003,YR2003,Iceland,ISL,26.8,7.245079994,2.142688379,43095.35686
741,2003,YR2003,Indonesia,IDN,31.9,3.217999935,4.780369122,6198.653268
744,2003,YR2003,Ireland,IRL,32.9,4.206180096000001,3.009584321,52494.20477
747,2003,YR2003,Italy,ITA,34.9,4.541790009,0.138626891,43781.21998
758,2003,YR2003,Kyrgyz Republic,KGZ,28.7,4.4754199980000005,7.030293201,3370.4301990000004
771,2003,YR2003,Malaysia,MYS,46.4,7.502880096,5.788499286,16751.40714
780,2003,YR2003,Moldova,MDA,34.9,5.424890041,6.600000037999999,6232.667047999999
787,2003,YR2003,Namibia,NAM,63.3,6.137139797000001,4.239794289,7182.307342
789,2003,YR2003,Nepal,NPL,43.8,3.11435008,3.945037767,2163.018278
798,2003,YR2003,Norway,NOR,27.6,7.416359901,0.910105664,58728.17524
802,2003,YR2003,Panama,PAN,55.7,4.168700218,4.205495945,14677.99624
804,2003,YR2003,Paraguay,PRY,54.9,3.382760048,4.320745486,8337.472158
