,xFitted,yFitted,HealthExpPC,Dependency
0,1.286894808,2133.535926857914,9.64153671,4.758272778
1,1.3318237046686687,2092.441435833412,376.5013733,20.04121416
2,1.3767526013373372,2051.9532881687746,633.7988281,10.02144174
3,1.421681498006006,2012.0653459388507,,
4,1.4666103946746747,1972.7715162768086,,
5,1.5115392913433434,1934.065751164828,69.06031799,4.347987485
6,1.556468188012012,1895.9420472252436,780.3624877999999,12.73197193
7,1.6013970846806806,1858.3944455121389,1221.781616,17.33868976
8,1.6463259813493494,1821.4170313034037,127.9612808,16.52235848
9,1.691254878018018,1785.003933893232,,
10,1.7361837746866866,1749.1493263850846,3456.6274409999996,24.03035262
11,1.7811126713553553,1713.8474254850978,4296.747559,28.48789232
12,1.8260415680240238,1679.0924912959488,168.0699616,8.795572468
13,1.8709704646926926,1644.878827111178,1006.997803,10.33003861
14,1.9158993613613613,1611.200779209955,1150.379761,3.098012895
15,1.96082825803003,1578.0527366523113,18.61657524,7.683541228999999
16,2.0057571546986988,1545.429131074814,539.0012817,23.63761604
17,2.050686051367367,1513.3244364867019,797.3865356000001,21.73873232
18,2.0956149480360358,1481.7331690664714,4096.09082,29.28610382
19,2.1405438447047045,1450.6498869589177,347.3262024,7.288678927
20,2.185472741373373,1420.0691900726247,16.38282776,5.992053527
21,2.230401638042042,1389.9857198779182,,
22,2.2753305347107107,1360.394159205262,256.2272949,8.798677265
23,2.3202594313793794,1331.2892320441138,353.0602417,11.64980335
24,2.365188328048048,1302.6657033422352,908.5909424,23.95214663
25,2.410117224716717,1274.5183788054478,843.5006714,6.8499182329999995
26,2.4550461213853856,1246.842104697856,637.9216918999999,12.79386664
27,2.499975018054054,1219.6317676425097,,
28,2.5449039147227226,1192.882294422529,1857.6505129999998,6.758880245
29,2.5898328113913913,1166.5886517826784,941.6680908,32.65152934
30,2.63476170806006,1140.7458462314007,47.48747635,4.5721030869999995
31,2.6796906047287283,1115.3489238432949,16.16786575,4.300248832
32,2.724619501397397,1090.3929700620542,240.3788147,6.919608964
33,2.769548398066066,1065.873109503857,55.55650711,7.113009316
34,2.8144772947347345,1041.784505761213,7.96273899,4.994327935
35,2.8594061914034032,1018.1223612072531,3821.553467,25.75872729
36,2.904335088072072,994.8819168004902,,
37,2.9492639847407407,972.0584518900159,6.07482052,5.343748417
38,2.9941928814094094,949.6472840211595,13.43343544,4.922331176
39,3.039121778078078,927.6437687416042,,
40,3.084050674746747,906.0432994079501,1172.167725,16.77884884
41,3.128979571415415,884.8413069927292,527.6022949,15.33786422
42,3.173908468084084,864.0332598918799,827.4388428,12.38682825
43,3.2188373647527526,843.6146637326779,12.42846012,5.23371678
44,3.2637662614214213,823.5810611821089,4.6314168,5.938700076
45,3.30869515809009,803.9280317557045,46.07588577,4.827159418
46,3.353624054758759,784.6511916268273,967.565918,13.81524559
47,3.398552951427427,765.7461934364151,50.79077911,5.178862101
48,3.443481848096096,747.2087261031702,1561.094482,31.43389598
49,3.4884107447647645,729.0345146342065,2239.784912,22.13651465
50,3.5333396414334333,711.2193199361545,,
51,3.578268538102102,693.758938626715,1123.486572,19.74166773
52,3.6231974347707707,676.649202846661,2514.624268,29.88170785
53,3.6681263314394394,659.885980072308,4860.257324,31.089476399999995
54,3.7130552281081077,643.4651729284233,66.85728455,6.87055517
55,3.7579841247767765,627.3827190015977,,
56,3.802913021445445,611.6345906540641,450.8258972,10.90669478
57,3.847841918114114,596.2167948379802,496.4184876,11.04279325
58,3.8927708147827826,581.1253729101513,176.444931,8.577415968
59,3.9376997114514514,566.3564004472141,378.2166138,12.83213318
60,3.98262860812012,551.9059870612787,138.378952,4.06764018
61,4.027557504788788,537.7702762160129,,
62,4.072486401457457,523.945445043189,1786.1077879999998,30.65826602
63,4.117415298126126,510.42770415968016,228.68084720000002,6.936944472
64,4.162344194794795,497.2132974849105,15.57280636,6.283904682999999
65,4.207273091463463,484.29850205876346,,
66,4.252201988132132,471.6796278599336,254.4277344,8.379191162
67,4.297130884800801,459.3530176247423,3501.412354,34.95794303
68,4.3420597814694695,447.3150466664042,3852.31958,32.30926755
69,4.386988678138138,435.5621226947442,,
70,4.431917574806807,424.0906856363654,287.624176,5.998811817999999
71,4.476846471475476,412.89720745528166,24.72364616,4.8737692610000005
72,4.521775368144144,401.9781919739985,314.07565310000007,22.75124235
73,4.566704264812813,391.33017469503466,4737.330566,33.06061416
74,4.611633161481482,380.9497226229246,65.33228302,5.172150033
75,4.65656205815015,370.8334340866454,,
76,4.701490954818818,360.9779385625143,1215.3240970000002,33.69239259
77,4.746419851487487,351.3798964975417,,
78,4.791348748156156,342.03599913322705,265.0151978,14.40100984
79,4.836277644824825,332.94296832980945,,
80,4.881206541493493,324.09755639098785,173.9083557,7.920776028
81,4.926135438162162,315.4965458890656,17.95958328,5.497583149
82,4.97106433483083,307.13674949058714,11.28578281,5.1492729719999994
83,5.015993231499499,299.0150097823848,317.3570252,9.872565162
84,5.060922128168167,291.1281990981133,17.2068367,8.00765841
85,5.105851024836836,283.47321934522824,145.84317019999997,7.378838308
86,5.150779921505505,276.04700183240675,,
87,5.1957088181741735,268.8465070974362,1461.609985,28.83884732
88,5.240637714842842,261.8687247355474,4211.852539,22.63176383
89,5.285566611511511,255.11067322820873,74.15726471,9.256038867000001
90,5.33049550818018,248.56939977236834,185.06178280000003,8.665518008
91,5.375424404848848,242.24198011015278,776.7890014999999,8.919346463
92,5.420353301517517,236.12551835901058,344.6011963,5.701850707999999
93,5.465282198186186,230.21714684232938,4357.137207,21.42170178
