,xStraight,yStraight
0,1.286894808,-302.522041125363
1,1.3212366896036036,-298.9633517700029
2,1.3555785712072073,-295.40466241464276
3,1.389920452810811,-291.84597305928264
4,1.4242623344144145,-288.2872837039225
5,1.458604216018018,-284.7285943485624
6,1.4929460976216216,-281.1699049932023
7,1.5272879792252252,-277.6112156378422
8,1.5616298608288288,-274.05252628248206
9,1.5959717424324324,-270.49383692712195
10,1.630313624036036,-266.93514757176183
11,1.6646555056396397,-263.3764582164017
12,1.6989973872432431,-259.8177688610416
13,1.733339268846847,-256.2590795056815
14,1.7676811504504504,-252.7003901503214
15,1.802023032054054,-249.14170079496125
16,1.8363649136576576,-245.58301143960114
17,1.8707067952612613,-242.02432208424102
18,1.905048676864865,-238.4656327288809
19,1.9393905584684683,-234.90694337352082
20,1.9737324400720722,-231.34825401816067
21,2.0080743216756756,-227.7895646628006
22,2.042416203279279,-224.2308753074405
23,2.076758084882883,-220.67218595208035
24,2.1110999664864867,-217.1134965967202
25,2.14544184809009,-213.55480724136012
26,2.1797837296936935,-209.996117886
27,2.2141256112972973,-206.43742853063986
28,2.2484674929009008,-202.87873917527978
29,2.2828093745045046,-199.32004981991963
30,2.317151256108108,-195.76136046455954
31,2.351493137711712,-192.2026711091994
32,2.3858350193153153,-188.6439817538393
33,2.4201769009189187,-185.08529239847923
34,2.4545187825225225,-181.52660304311908
35,2.4888606641261264,-177.96791368775894
36,2.52320254572973,-174.40922433239882
37,2.557544427333333,-170.85053497703876
38,2.591886308936937,-167.2918456216786
39,2.6262281905405405,-163.73315626631853
40,2.660570072144144,-160.17446691095842
41,2.6949119537477477,-156.6157775555983
42,2.7292538353513516,-153.05708820023813
43,2.763595716954955,-149.49839884487807
44,2.7979375985585584,-145.93970948951795
45,2.8322794801621622,-142.38102013415778
46,2.8666213617657657,-138.82233077879772
47,2.900963243369369,-135.2636414234376
48,2.935305124972973,-131.7049520680775
49,2.9696470065765768,-128.14626271271732
50,3.00398888818018,-124.58757335735726
51,3.0383307697837836,-121.02888400199714
52,3.0726726513873874,-117.47019464663703
53,3.107014532990991,-113.91150529127691
54,3.1413564145945942,-110.3528159359168
55,3.175698296198198,-106.79412658055668
56,3.210040177801802,-103.2354372251965
57,3.2443820594054054,-99.67674786983645
58,3.2787239410090088,-96.11805851447633
59,3.3130658226126126,-92.55936915911622
60,3.347407704216216,-89.0006798037561
61,3.38174958581982,-85.44199044839598
62,3.4160914674234233,-81.88330109303587
63,3.450433349027027,-78.32461173767575
64,3.4847752306306305,-74.76592238231564
65,3.519117112234234,-71.20723302695552
66,3.553458993837838,-67.6485436715954
67,3.587800875441441,-64.08985431623529
68,3.622142757045045,-60.531164960875174
69,3.6564846386486485,-56.97247560551506
70,3.6908265202522523,-53.41378625015494
71,3.7251684018558557,-49.855096894794826
72,3.7595102834594596,-46.29640753943471
73,3.793852165063063,-42.737718184074595
74,3.8281940466666664,-39.17902882871448
75,3.8625359282702703,-35.62033947335436
76,3.8968778098738737,-32.06165011799425
77,3.9312196914774775,-28.50296076263413
78,3.965561573081081,-24.944271407274016
79,3.999903454684685,-21.3855820519139
80,4.034245336288288,-17.826892696553784
81,4.068587217891892,-14.268203341193669
82,4.102929099495496,-10.709513985833496
83,4.137270981099099,-7.150824630473494
84,4.171612862702703,-3.5921352751133213
85,4.205954744306306,-0.03344591975326239
86,4.2402966259099095,3.5252434356068534
87,4.274638507513513,7.083932790967026
88,4.308980389117117,10.642622146327142
89,4.343322270720721,14.201311501687258
90,4.377664152324324,17.760000857047316
91,4.412006033927928,21.31869021240749
92,4.446347915531531,24.87737956776749
93,4.480689797135135,28.436068923127664
94,4.515031678738739,31.99475827848778
95,4.549373560342342,35.55344763384795
96,4.583715441945946,39.11213698920807
97,4.618057323549549,42.67082634456813
98,4.652399205153153,46.22951569992824
99,4.686741086756756,49.7882050552883
100,4.72108296836036,53.346894410648474
101,4.755424849963964,56.90558376600859
102,4.789766731567568,60.46427312136876
103,4.8241086131711715,64.02296247672888
104,4.858450494774775,67.58165183208905
105,4.892792376378378,71.14034118744905
106,4.927134257981981,74.69903054280911
107,4.961476139585585,78.25771989816928
108,4.995818021189189,81.8164092535294
109,5.030159902792793,85.37509860888952
110,5.064501784396397,88.93378796424963
111,5.0988436660000005,92.49247731960986
112,5.1331855476036035,96.05116667496986
113,5.167527429207206,99.60985603032987
114,5.20186931081081,103.1685453856901
115,5.236211192414414,106.72723474105021
116,5.270553074018018,110.28592409641033
117,5.304894955621622,113.84461345177044
118,5.339236837225226,117.40330280713067
119,5.3735787188288295,120.96199216249079
120,5.407920600432432,124.52068151785068
121,5.4422624820360355,128.0793708732109
122,5.476604363639639,131.63806022857102
123,5.510946245243243,135.19674958393114
124,5.545288126846847,138.75543893929125
125,5.579630008450451,142.31412829465137
126,5.613971890054055,145.8728176500116
127,5.648313771657657,149.4315070053715
128,5.682655653261261,152.99019636073172
129,5.7169975348648645,156.54888571609183
130,5.751339416468468,160.10757507145195
131,5.785681298072072,163.66626442681206
132,5.820023179675676,167.22495378217218
133,5.85436506127928,170.7836431375324
134,5.888706942882882,174.3423324928923
135,5.923048824486486,177.9010218482524
136,5.95739070609009,181.45971120361264
137,5.9917325876936935,185.01840055897276
138,6.026074469297297,188.57708991433287
139,6.060416350900901,192.135779269693
140,6.094758232504505,195.69446862505322
141,6.129100114108107,199.2531579804131
142,6.163441995711711,202.81184733577322
143,6.197783877315315,206.37053669113345
144,6.232125758918919,209.92922604649357
145,6.266467640522523,213.48791540185368
146,6.300809522126126,217.0466047572138
