,xFitted,yFitted
0,1.28689480839373,2417.043233866529
1,1.3212366899922208,2374.6721576934137
2,1.3555785715907114,2332.8899489292317
3,1.3899204531892022,2291.690801773944
4,1.424262334787693,2251.068950589079
5,1.4586042163861839,2211.0186697269305
6,1.4929460979846745,2171.5342733600833
7,1.5272879795831653,2132.6101153112845
8,1.5616298611816561,2094.2405888836433
9,1.5959717427801468,2056.4201266911696
10,1.6303136243786376,2019.1432004896465
11,1.6646555059771284,1982.404321007844
12,1.698997387575619,1946.1980377790583
13,1.7333392691741099,1910.5189389729999
14,1.7676811507726007,1875.3616512280037
15,1.8020230323710913,1840.7208394835889
16,1.8363649139695821,1806.5912068133407
17,1.870706795568073,1772.9674942581405
18,1.9050486771665636,1739.8444806597208
19,1.9393905587650544,1707.2169824945672
20,1.9737324403635452,1675.0798537081446
21,2.008074321962036,1643.4279855494683
22,2.042416203560527,1612.2563064060032
23,2.0767580851590175,1581.5597816389118
24,2.111099966757508,1551.3334134186152
25,2.1454418483559987,1521.5722405607207
26,2.1797837299544898,1492.2713383622518
27,2.2141256115529804,1463.4258184382425
28,2.2484674931514714,1435.030828558648
29,2.282809374749962,1407.0815524856034
30,2.3171512563484526,1379.5732098110147
31,2.3514931379469433,1352.5010557944752
32,2.3858350195454343,1325.8603812015353
33,2.4201769011439254,1299.6465121422975
34,2.454518782742416,1273.8548099103486
35,2.4888606643409066,1248.4806708220285
36,2.523202545939397,1223.519526056034
37,2.557544427537888,1198.9668414933594
38,2.591886309136379,1174.818117557571
39,2.62622819073487,1151.0688890554266
40,2.6605700723333605,1127.714725017811
41,2.694911953931851,1104.751228541028
42,2.7292538355303417,1082.1740366284175
43,2.763595717128833,1059.9788200323055
44,2.7979375987273234,1038.1612830963072
45,2.8322794803258144,1016.7171635979394
46,2.866621361924305,995.6422325915919
47,2.9009632435227957,974.9322942518211
48,2.9353051251212863,954.5831857169865
49,2.9696470067197773,934.5907769332198
50,3.003988888318268,914.9509704987317
51,3.038330769916759,895.659701508448
52,3.0726726515152496,876.7129373989942
53,3.10701453311374,858.106677794
54,3.141356414712231,839.8369543497574
55,3.175698296310722,821.8998306011972
56,3.2100401779092125,804.2914018082142
57,3.2443820595077035,787.0077948023168
58,3.278723941106194,770.0451678336308
59,3.3130658227046847,753.3997104182113
60,3.347407704303176,737.0676431857223
61,3.3817495859016664,721.0452177274224
62,3.416091467500157,705.3287164445069
63,3.450433349098648,689.9144523967766
64,3.4847752306971387,674.7987691516505
65,3.5191171122956293,659.9780406334894
66,3.5534589938941203,645.4486709733001
67,3.587800875492611,631.2070943587296
68,3.6221427570911016,617.2497748844253
69,3.6564846386895926,603.5732064027152
70,3.6908265202880832,590.173912374627
71,3.725168401886574,577.0484457212578
72,3.759510283485065,564.1933886754477
73,3.7938521650835555,551.6053526338301
74,3.828194046682046,539.2809780091757
75,3.862535928280537,527.2169340831078
76,3.8968778098790278,515.4099188591317
77,3.9312196914775184,503.8566589160032
78,3.9655615730760094,492.55390926144946
79,3.9999034546745,481.4984531861983
80,4.034245336272991,470.68710211836105
81,4.068587217871482,460.11669547815245
82,4.102929099469972,449.7841005329378
83,4.137270981068463,439.68621225261995
84,4.171612862666954,429.8199531653604
85,4.205954744265444,420.18227321364066
86,4.240296625863936,410.77014961065515
87,4.274638507462426,401.5805866970395
88,4.308980389060917,392.6106157979357
89,4.343322270659408,383.8572950803964
90,4.377664152257898,375.3177094111179
91,4.41200603385639,366.9889702145183
92,4.44634791545488,358.8682153311438
93,4.480689797053371,350.952608876406
94,4.515031678651861,343.23934109968104
95,4.549373560250352,335.725628243702
96,4.5837154418488435,328.4087124043326
97,4.618057323447333,321.28586139063646
98,4.652399205045825,314.354368585311
99,4.686741086644315,307.6115528054479
100,4.721082968242806,301.05475816362286
101,4.755424849841297,294.6813539293262
102,4.789766731439787,288.48873439073213
103,4.824108613038279,282.4743187168051
104,4.858450494636769,276.6355508197312
105,4.89279237623526,270.96989921769637
106,4.9271342578337505,265.4748568979867
107,4.961476139432241,260.147941180453
108,4.995818021030733,254.98669358127063
109,5.030159902629222,249.98867967707156
110,5.064501784227714,245.15148896939536
111,5.098843665826204,240.47273474947633
112,5.133185547424695,235.95005396335637
113,5.1675274290231865,231.58110707736523
114,5.201869310621676,227.36357794390824
115,5.236211192220168,223.295173667595
116,5.270553073818658,219.37362447170744
117,5.304894955417149,215.59668356500424
118,5.33923683701564,211.96212700886826
119,5.37357871861413,208.46775358476953
120,5.407920600212622,205.11138466208195
121,5.442262481811112,201.89086406622937
122,5.476604363409603,198.8040579471617
123,5.5109462450080935,195.848854648194
124,5.545288126606584,193.02316457513462
125,5.579630008205075,190.3249200657874
126,5.613971889803566,187.7520752597784
127,5.648313771402057,185.30260596871358
128,5.682655653000547,182.97450954667966
129,5.716997534599038,180.76580476107574
130,5.751339416197529,178.67453166377254
131,5.78568129779602,176.6987514626353
132,5.820023179394511,174.83654639334964
133,5.854365060993001,173.08601959160933
134,5.888706942591492,171.44529496561245
135,5.923048824189983,169.91251706891853
136,5.957390705788473,168.48585097364685
137,5.991732587386965,167.16348214395475
138,6.026074468985455,165.94361630994445
139,6.060416350583946,164.82447934181164
140,6.0947582321824365,163.80431712439622
141,6.129100113780927,162.88139543203124
142,6.163441995379418,162.05399980375296
143,6.197783876977909,161.3204354188283
144,6.2321257585764,160.6790269726216
145,6.26646764017489,160.1281185528096
146,6.300809521773381,159.66607351590756
147,6.335151403371872,159.29127436417275
148,6.369493284970362,159.0021226227882
149,6.403835166568854,158.79703871742367
