Country Name,International migrant stock (% of population),Government expenditure on education
Samoa,2.550872544,4.857729912
San Marino,14.84220132,..
Sao Tome and Principe,1.25772286,3.864599943
Saudi Arabia,32.29494249,..
Senegal,1.739951417,5.45637989
Serbia,9.122622084,3.78640008
Seychelles,13.25890682,4.222899914
Sierra Leone,1.413457295,3.057290077
Singapore,45.39179191,2.863090038
Sint Maarten (Dutch part),70.44779972,..
Slovak Republic,3.265417899,4.598999977
Slovenia,11.41296409,4.909530163
Solomon Islands,0.442947201,10.13490009
Somalia,0.234455884,..
South Africa,5.767090449,5.956190109
South Sudan,6.67856204,1.465559959
Spain,12.69023719,4.286570072
Sri Lanka,0.186850018,2.22874999
St. Kitts and Nevis,13.39343554,2.643460035
St. Lucia,6.903280558,3.867729902
St. Martin (French part),..,..
St. Vincent and the Grenadines,4.181359741,..
Sudan,1.251344542,..
Suriname,8.625811501,5.926509857
Sweden,16.76755875,7.443900108
Switzerland,29.38668554,4.93844986
Syrian Arab Republic,4.730134388,..
Tajikistan,3.242910896,4.967740059
Tanzania,0.48853553,4.194869995
Thailand,5.758232652,3.759670019
Timor-Leste,0.914442949,8.445150375
Togo,3.79000676,5.10860014
Tonga,5.397946689,..
Trinidad and Tobago,3.66763033,3.373280048
Tunisia,0.503849717,6.596000195
Turkey,3.769001103,..
Turkmenistan,3.654711583,..
Turks and Caicos Islands,34.03710067,3.093250036
Tuvalu,1.421944332,..
Uganda,1.920126168,2.331530094
Ukraine,10.78646116,5.74255991
United Arab Emirates,88.40404837,..
United Kingdom,13.20097825,5.553050041
United States,14.49065352,..
Uruguay,2.092316749,..
Uzbekistan,3.91690324,5.786379814
Vanuatu,1.204222904,5.603380203
"Venezuela, RB",4.514736572,1.930179954
Vietnam,0.077897131,4.465760231
Virgin Islands (U.S.),53.36387841,..
West Bank and Gaza,5.473039752,4.663219929
"Yemen, Rep.",1.282529228,..
Zambia,0.78902565,4.624330044
Zimbabwe,2.556382525,5.812789917
