Time,Time Code,Country,Country Code,GDPGrowth
1984,YR1984,Japan,JPN,4.501994816
1985,YR1985,Japan,JPN,5.233380947
1986,YR1986,Japan,JPN,3.326525616
1987,YR1987,Japan,JPN,4.73066586
1988,YR1988,Japan,JPN,6.785020109
1989,YR1989,Japan,JPN,4.858037686
1990,YR1990,Japan,JPN,4.892713066
1991,YR1991,Japan,JPN,3.417496762
1992,YR1992,Japan,JPN,0.848069581
1993,YR1993,Japan,JPN,-0.517919847
1994,YR1994,Japan,JPN,0.993066363
1995,YR1995,Japan,JPN,2.630999616
1996,YR1996,Japan,JPN,3.133870993
1997,YR1997,Japan,JPN,0.981228732
1998,YR1998,Japan,JPN,-1.270330495
1999,YR1999,Japan,JPN,-0.333929958
2000,YR2000,Japan,JPN,2.764647551
2001,YR2001,Japan,JPN,0.386103426
2002,YR2002,Japan,JPN,0.041962499
2003,YR2003,Japan,JPN,1.535125499
2004,YR2004,Japan,JPN,2.186115694
2005,YR2005,Japan,JPN,1.803900872
2006,YR2006,Japan,JPN,1.372350128
2007,YR2007,Japan,JPN,1.483969412
2008,YR2008,Japan,JPN,-1.224289001
2009,YR2009,Japan,JPN,-5.693236359
2010,YR2010,Japan,JPN,4.097917919
2011,YR2011,Japan,JPN,0.023809524
2012,YR2012,Japan,JPN,1.374750999
2013,YR2013,Japan,JPN,2.005100177
2014,YR2014,Japan,JPN,0.296205514
2015,YR2015,Japan,JPN,1.560626697
2016,YR2016,Japan,JPN,0.753826746
2017,YR2017,Japan,JPN,1.675331752
2018,YR2018,Japan,JPN,0.558851275
2019,YR2019,Japan,JPN,0.270304645
2020,YR2020,Japan,JPN,-5.809905571
1960,YR1960,United Kingdom,GBR,..
1961,YR1961,United Kingdom,GBR,2.677118943
1962,YR1962,United Kingdom,GBR,1.102909649
1963,YR1963,United Kingdom,GBR,4.874383998
1964,YR1964,United Kingdom,GBR,5.533659386
1965,YR1965,United Kingdom,GBR,2.142176544
1966,YR1966,United Kingdom,GBR,1.573100414
1967,YR1967,United Kingdom,GBR,2.786474642
1968,YR1968,United Kingdom,GBR,5.441083438
1969,YR1969,United Kingdom,GBR,1.924096835
1970,YR1970,United Kingdom,GBR,3.38084999
1971,YR1971,United Kingdom,GBR,3.504717313
1972,YR1972,United Kingdom,GBR,4.321667607
1973,YR1973,United Kingdom,GBR,6.523848492
1974,YR1974,United Kingdom,GBR,-2.484404001
1975,YR1975,United Kingdom,GBR,-1.473649493
1976,YR1976,United Kingdom,GBR,2.910266166
1977,YR1977,United Kingdom,GBR,2.457750493
1978,YR1978,United Kingdom,GBR,4.204260468
1979,YR1979,United Kingdom,GBR,3.749016637
1980,YR1980,United Kingdom,GBR,-2.031367786
1981,YR1981,United Kingdom,GBR,-0.787743812
1982,YR1982,United Kingdom,GBR,1.994891182
1983,YR1983,United Kingdom,GBR,4.221856422
1984,YR1984,United Kingdom,GBR,2.269105144
1985,YR1985,United Kingdom,GBR,4.147414952
1986,YR1986,United Kingdom,GBR,3.150340586
1987,YR1987,United Kingdom,GBR,5.392738342
1988,YR1988,United Kingdom,GBR,5.732413648
1989,YR1989,United Kingdom,GBR,2.577602729
1990,YR1990,United Kingdom,GBR,0.733755503
1991,YR1991,United Kingdom,GBR,-1.103121655
1992,YR1992,United Kingdom,GBR,0.401082104
1993,YR1993,United Kingdom,GBR,2.48983093
1994,YR1994,United Kingdom,GBR,3.846009131
1995,YR1995,United Kingdom,GBR,2.531670077
1996,YR1996,United Kingdom,GBR,2.491610855
1997,YR1997,United Kingdom,GBR,4.975295008
1998,YR1998,United Kingdom,GBR,3.707771046
1999,YR1999,United Kingdom,GBR,3.29520162
2000,YR2000,United Kingdom,GBR,3.506217426
2001,YR2001,United Kingdom,GBR,2.730335651
2002,YR2002,United Kingdom,GBR,2.178744368
2003,YR2003,United Kingdom,GBR,3.321881725
2004,YR2004,United Kingdom,GBR,2.286278175
2005,YR2005,United Kingdom,GBR,2.955691743
2006,YR2006,United Kingdom,GBR,2.693800367
2007,YR2007,United Kingdom,GBR,2.360575861
2008,YR2008,United Kingdom,GBR,-0.278780161
2009,YR2009,United Kingdom,GBR,-4.113949331
2010,YR2010,United Kingdom,GBR,2.074050953
2011,YR2011,United Kingdom,GBR,1.275708411
2012,YR2012,United Kingdom,GBR,1.430396029
2013,YR2013,United Kingdom,GBR,2.186113352
2014,YR2014,United Kingdom,GBR,2.862728671
2015,YR2015,United Kingdom,GBR,2.363069511
2016,YR2016,United Kingdom,GBR,1.722385904
2017,YR2017,United Kingdom,GBR,1.740309443
2018,YR2018,United Kingdom,GBR,1.252590613
2019,YR2019,United Kingdom,GBR,1.370814722
2020,YR2020,United Kingdom,GBR,-9.790240362
1960,YR1960,United States,USA,..
1961,YR1961,United States,USA,2.3
1962,YR1962,United States,USA,6.1
1963,YR1963,United States,USA,4.4
