,country,year,netedu,category,categorynum,,
1998,"Venezuela, RB",1972,26.8205,Spanish,3,,
1999,"Venezuela, RB",1971,24.58102,Spanish,3,,
2003,Uruguay,2017,88.21273,Spanish,3,,
2004,Uruguay,2016,83.27916,Spanish,3,,
2005,Uruguay,2015,81.60692,Spanish,3,,
2006,Uruguay,2014,76.6716,Spanish,3,,
2008,Uruguay,2012,74.70228,Spanish,3,,
2009,Uruguay,2011,73.45892,Spanish,3,,
2011,Uruguay,2009,71.36421,Spanish,3,,
2012,Uruguay,2008,69.47614,Spanish,3,,
2013,Uruguay,2007,67.65482,Spanish,3,,
2036,Uruguay,1984,56.16876,Spanish,3,,
2058,Paraguay,2012,65.88458,Spanish,3,,
2059,Paraguay,2011,62.70972,Spanish,3,,
2060,Paraguay,2010,60.94171,Spanish,3,,
2061,Paraguay,2009,59.90882,Spanish,3,,
2062,Paraguay,2008,59.36683,Spanish,3,,
2063,Paraguay,2007,58.11186,Spanish,3,,
2064,Paraguay,2006,57.42306,Spanish,3,,
2065,Paraguay,2005,57.02914,Spanish,3,,
2066,Paraguay,2004,56.20782,Spanish,3,,
2067,Paraguay,2003,54.13995,Spanish,3,,
2068,Paraguay,2002,52.87572,Spanish,3,,
2069,Paraguay,2001,51.65877,Spanish,3,,
2071,Paraguay,1999,45.66068,Spanish,3,,
2072,Paraguay,1998,42.79821,Spanish,3,,
2074,Paraguay,1996,38.07619,Spanish,3,,
2076,Paraguay,1994,33.22648,Spanish,3,,
